Identifiant;Nom_officiel;Adresse;Lieu;Code_postal;Ville;Departement;Région;URL;Telephone;Categorie;Domaine_thematique;Histoire;Atout;Thèmes;Artiste;Personnage_phare;Intérêt;Protection_batiment;Protection_espace;Refmer;Annee_creation;Date_de_mise_a_jour;Coordonnees
M1106;musée Cernuschi, musée des arts de l’Asie de la ville de Paris;7 avenue Vélasquez;Hôtel particulier;75008;Paris;Paris;Ile-de-France;www.cernuschi.paris.fr/;01 53 96 21 50;;Arts décoratifs,Beaux-arts,Ethnologie,Asie;Collections d'arts asiatiques léguées en 1896 par le financier Henri Cernuschi (1820 - 1896), banquier d'origine milanaise qui lègue aussi son hôtel particulier à la Ville de Paris. Ce musée, ouvert au public en 1898, va, sous la direction d'Henri d'Ardenne de Tizac, conservateur de 1905 à 1933, se spécialiser dans l'archéologie chinoise.;Art et archéologie de la Chine ancienne : néolithique, bronze archaïque, ensemble très complet d'antiquités de l' époque Han du IIIe siècle avant J.-C au IIIe siècle après J.-C.  Ensemble exceptionnel de statues bouddhiques des Ve au VIe siècles, ensemble très important de Ming du IIIe siècle avant J.-C au  XIIe siècle après.  Céramiques de Changsha. Peintures modernes chinoises.;"Antiquités étrangères (Chine et Extrême-Orient);Arts décoratifs : Céramique, Orfèvrerie;Beaux-Arts : Peinture, Sculpture;Civilisations extra-européennes : Asiatiques";Peintures anciennes Han Gan (vers 715 - après 781) (rouleau attribué à) - Ecole de Liang Kai (début XIIIe siècle).  Peintures modernes : Qi Baishi (1863 - 1957). Xu Beihong (1895 - 1953). Zhang Daqian (1899 - 1983). Fu Baoshi (1907 - 1965).;;Hôtel particulier réalisé pour Henri Cernuschi par l'architecte Bouwens. Il a conservé son escalier d'honneur et une salle monumentale avec plafond sculpté (1er étage).;;Site patrimonial remarquable.;"SPR1100002;SPR1100001";;2023-04-12;48.879693, 2.312194
M1109;musée du maréchal Leclerc de Hautecloque et de la Libération de Paris - musée Jean Moulin;23 allée de la 2e division blindée;jardin Atlantique;75015;Paris;Paris;Ile-de-France;www.museeliberation-leclerc-moulin.paris.fr/;01 40 64 39 44;;Histoire;Conçus par des historiens spécialistes de la Seconde Guerre mondiale, ces deux musées expliquent et retracent la Résistance et la Libération à travers le destin de deux hommes d'exception, le maréchal Leclerc et Jean Moulin. Campagne d'entretiens auprès de grands témoins. Acquisition de documents, photographies, ouvrages historiques sur la période. Lieux de mémoire vivante, ces musées sont aussi un centre de recherche, de documentation et de colloques.;Collections diversifiées : fonds documentaire, fonds photographique (environ 1.500 clichés, plus négatifs), environ 1.000 ouvrages généraux sur la période et cassettes vidéo. L'ensemble peut être consulté au centre de documentation des deux musées.;"Dessin, Peinture;Histoire : Période historique, Histoire militaire, Biographie";;Le Général Leclerc. Jean Moulin.;;;Site patrimonial remarquable.;SPR1100002;;2024-02-07;48.840614, 2.319773
M1126;Fondation Arp;21 rue des châtaigniers;;92140;Clamart;Hauts-de-Seine;Ile-de-France;www.fondationarp.org/;01.45.34.22.63;;;C'est ici que Jean Arp et Sophie Taeuber, pionniers du Dadaïsme et de l'Abstraction, s'installèrent en 1929, dans une maison-atelier conçue par Sophie Taeuber, qui servira de cadre à leur création jusqu'à la fin de leur vie. Ils y accueillirent leurs amis, artistes et écrivains des Avant-Gardes. Cette Fondation fut réalisée par Marguerite Hagenbach, deuxième épouse de Jean Arp, en 1979, date à laquelle l’État français lui accorda la reconnaissance d’utilité publique.  Jean Arp avait esquissé les contours de cette fondation plusieurs années avant sa mort survenue en 1966, pour favoriser la connaissance et la perception de son œuvre à côté de celle de Sophie Taeuber.  Exceptionnelle collection d’œuvres léguées par Marguerite Arp pour l’essentiel, et enrichie au fil des ans par diverses donations et mises en dépôt. Les ateliers de plâtres, en particulier, ont été réaménagés en 2003 pour accueillir les 114 sculptures en plâtre et 32 reliefs de Jean Arp confisqués en 1996 au profit des Douanes à Valenciennes.  Cette collection a été officiellement mise en dépôt à la Fondation Arp le 12 décembre 2006 par le Centre national d’art et de culture Georges Pompidou (MNAM).;Pour accueillir les artistes ou les promeneurs, les professionnels de l’art ou les collectionneurs, à la recherche d’une émotion, d’un message ou d’un enseignement. L’intérêt de pérenniser un tel lieu de création, abritant une part significative de l’héritage artistique de deux pionniers des Avant-gardes du XXe siècle, est porté désormais par un large consensus d’artistes, historiens de l’art, conservateurs et regardeurs fascinés. Lieu de vie et de création, espace de rencontres et de dévoilement de l’œuvre, l’atelier de Clamart n’est pas une simple demeure empreinte de la sérénité et de la simplicité des deux artistes. C’est aussi un témoignage essentiel à la perception et à la connaissance de leur travail artistique : voir les œuvres dans l’intimité et la lumière de l’atelier où elles naquirent, repérer les traces de toute nature qui y sont conservées permet une compréhension plus fine et plus forte que les regarder dans l’éclairage impersonnel d’un musée.;;"Jean Arp ; Sophie Taeuber.";;Maison construite sur les idées de Sophie Taeuber.;;;;;2024-02-07;48.803529, 2.244319
M5026;musée national de La Marine;17 place du Trocadéro;palais de Chaillot;75116;Paris;Paris;Ile-de-France;www.musee-marine.fr/;01 53 65 69 69;;Arts décoratifs,Beaux-Arts,Histoire,Sciences fondamentales,Technique et industrie,Ethnologie,Afrique,Amérique,Asie,Océanie,Arts de l'Islam,Mémoire de l'esclavage;La collection navale offerte au Roi par Duhamel de Monceau en 1748 constitue le fonds du musée, enrichi à la Révolution par des modèles en réduction des principaux navires en chantier dans les arsenaux depuis Colbert en 1678. Le musée fondé en 1827 par Charles X, a été placé sous l'administration des beaux-arts de 1848 à 1919, et rattaché depuis au Ministère de la Marine. Les collections, transférées au Palais de Chaillot et  accessibles au public depuis le 15 août 1943, présentent la Marine nationale dite la Royale, la Marine de commerce, la Marine de pêche, la recherche océanographique, les sports nautiques et la plaisance. Le musée est actuellement en rénovation. réouverture prévue au printemps 2022.;"Canot de Napoléon 1er. Sculptures monumentales de la galère Réale. Maquettes des grands paquebots récents ""Île- de-France"" 1923, "" Lafayette"" 1930, "" Atlantique"" 1931, ""Normandie"" 1935, le ""France"" 1964.";"Archeologie nationale : Moderne;Architecture et urbanisme;Art moderne et contemporain;Arts décoratifs : Céramique, Mobilier, Orfèvrerie, Textiles, Verrerie;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Civilisations extra-européennes : Africaines, Américaines, Asiatiques, Islamiques, Océaniennes;Collections militaires : Armes, Artillerie, Uniformes, Armures, Véhicules;Autres collections : Archives papier, Fonds ancien d imprimés, Photographie, Manuscrits, incunables, Moulages, Numismatique, Ouvrages de bibliophilie, Plans, Sigillographie;Ethnologie : Costume, Métiers et Outils, Pratiques religieuses et collectives;Histoire : Musée thématique, Histoire locale et régionale, Histoire militaire;Sciences fondamentales : Astronomie;Sciences et techniques : Aéronautique, Communication, Navigation et Pêche, Océaniennes, Sciences médicales";Claude-Joseph Vernet, Isabey, Morel-Fatio, Hué.;;Aile ouest du Palais de Chaillot construit pour l'exposition universelle de 1937 par Carlu, Boileau et Azéma.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00086706?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Trocad%C3%A9ro%22&last_view=%22list%22&idQuery=%2255e328d-d6f5-2a5c-aae0-28f2b0287a31%22;Site patrimonial remarquable.;"PA00086706;SPR1100002;SPR1100001";;2024-02-08;48.86425, 2.293754
M5039;musée Jean-Jacques Henner;43 avenue de Villiers;;75017;Paris;Paris;Ile-de-France;www.musee-henner.fr/;01 47 63 42 73;"Musée de site ; Maison d'artiste";Beaux-arts;Le musée Henner est un des rares témoignages accessibles au public de l’architecture privée sous la IIIe République. En effet, l’hôtel particulier qui abrite aujourd’hui le musée était la demeure et l'atelier du peintre Guillaume Dubufe (1853-1909), qui l’avait acheté en 1878. C'est en 1921 que Marie Henner, veuve du neveu de Jean-Jacques Henner, l’achète aux héritiers de Dubufe pour y présenter les œuvres de son oncle qu’elle souhaite donner à l’État. Elle va faire réaliser d'importants travaux dans les années qui suivent, sous la direction de l'architecte Marcel Legendre, notamment dans les espaces de réception du rez-de-chaussée. Elle fait ouvrir le salon néo-Renaissance sur le jardin d’hiver par une colonnade en stuc, d’où son nom actuel de « salon aux colonnes », et recouvre la mosaïque d'origine d'une dalle de béton. Le musée ouvre au public en 1924. Many Benner, ancien élève et fils d'un ami du peintre, en est le premier conservateur.;520 toiles de l'artiste, 1.000 dessins et des études, dont des portraits de famille.;"Beaux-Arts;Dessin;Peinture";Jean- Jacques Henner;;"En 1878, le peintre Guillaume Dubufe (1853-1909) achète au peintre Roger Jourdain (1845-1918) « un rez-de-chaussée et deux étages sous comble ». Son architecte, Nicolas Félix Escalier (1843-1920), est aussi celui de l’hôtel particulier de l’actrice Sarah Bernhardt, situé rue Fortuny. À l’époque de son installation avenue de Villiers, la cote de Guillaume Dubufe est au plus haut : il est médaillé successivement aux salons des artistes français de 1877 et de 1878 (3e et seconde médaille) ; en 1889, c'est la consécration avec la médaille d'or au Salon et la légion d'honneur dont il est fait chevalier à l’issue de l'exposition universelle. À la fois lieu de réception, lieu domestique et lieu de création, l’hôtel particulier permet à Dubufe de mettre en scène ses œuvres et ses collections dans un cadre témoignant également de son savoir-faire de décorateur d’intérieur et de son goût. C'est donc lui-même qui se charge de décorer sa maison et de faire couvrir le jardin pour en faire un jardin d’hiver. Le mélange des styles et des références à des époques et à des civilisations diverses (Renaissance française, Empire ottoman, Andalousie, Afrique du nord, Chine...) est caractéristique du goût éclectique de l’époque. Ainsi, au rez-de-chaussée, la salle à manger de l’hôtel particulier avait une cheminée de style « chinois » et un décor de carreaux anciens bleu et blanc en faïence de Delft, et on sait que le reste du décor, aujourd’hui disparu, était dans un style oriental avec des panneaux de bois et de nacre, des plats au décor bleu en porcelaine de Chine, deux consoles supportant des cigognes en bronze et des rideaux en soie jaune. Dans le salon au plafond « néo-Renaissance », on trouvait un canapé recouvert de soierie jaune et une quinzaine de fauteuils et chaises de styles divers allant du fauteuil Louis XIII à la chaise longue en bambou. On y voyait aussi bien des vases en porcelaine du Japon que des peintures anciennes. Dans tout l’hôtel particulier étaient accumulés sur les murs des peintures, dessins, porcelaines et textiles. En 1889, une nouvelle campagne de travaux permet notamment la création d’un nouvel atelier au troisième étage, celui du premier étage étant réaménagé en chambre à l’orientale, décorée de tapis appliqués au plafond et de moucharabiehs égyptiens provenant de la collection Goupil. En 1894, la Grande Dame, revue de l’élégance et des arts, décrit ainsi ce qui était la chambre de madame Dubufe : « Quand on pénètre dans cette chambre, la première impression est étrange. On croit entrer dans une mosquée arabe. Comme ligne et comme couleur, c'est du pur Orient. Trois arcades blanches – comme on en trouve dans les maisons mauresques – et du cintre desquelles tombent de petites lampes en verre émaillé – séparent du reste de la chambre une sorte de retrait, recevant le lit très bas, recouvert d’étoffes comme on n’en rencontre qu’au Caire, à Constantinople et à Damas – et encore dans les très bons endroits, inaccessibles aux caravanes des voyageurs vulgaires... » En 1935, sur les plans de l’architecte André Arfvidson, l’hôtel particulier est surélevé de deux étages, pour créer un appartement et un atelier d'artiste à l'usage du conservateur du musée, qui est « un peintre de talent sérieux » conformément aux charges de la donation. Ces étages sont inaccessibles au public. En 2008-2009 a été réalisée une importante campagne de rénovation sous l’égide de l’architecte l’agence Bodin & associés. L’ascenseur, implanté dans les années 1930, a été déplacé et les murs ont été repeints selon une polychromie proche de celle d’origine. La salle à manger a été ouverte à la visite et un nouveau parcours proposé aux visiteurs. En 2014-2016, sont réalisés des travaux permettant la modification de l’accueil doté d’une nouvelle porte, la rénovation du salon aux colonnes et du jardin d’hiver avec la construction d’une nouvelle verrière ainsi que la création de réserves et d’un atelier technique.";;Site patrimonial remarquable.;"SPR1100002;SPR1100001";1926;2024-02-08;48.883045, 2.307689
M5059;musée national de la Légion d'honneur et des ordres de chevalerie;2, rue de la Légion d'honneur;;75007;Paris;Paris;Ile-de-France;www.legiondhonneur.fr/fr;01 40 62 84 25;;Histoire;C’est à la suite du succès rencontré par une exposition intitulée « La Légion d’honneur et les décorations françaises », au musée des Arts décoratifs, en 1911, que naît l’idée d’une présentation permanente des médailles françaises au sein de la grande chancellerie de la Légion d’honneur. Interrompu par la Première Guerre mondiale, le projet se concrétise au lendemain du conflit. Le grand chancelier de la Légion d’honneur, alors le général Dubail, souhaite en effet dédier un sanctuaire à la gloire des Français et des étrangers éprouvés par la guerre. A son initiative, le musée de la Légion d’honneur et des ordres de chevalerie voit le jour en 1925. Le général Dubail lui attribue l’aile est du palais de la Légion d’honneur, sur l’emplacement des anciennes écuries de l’Hôtel de Salm. Pour l’aménagement des lieux, le grand chancelier lance une souscription auprès des légionnaires et des médaillés militaires. C’est essentiellement un avocat d’affaires américain, William Nelson Cromwell, qui, par des donations successives, permet la réalisation du musée. Le succès est immédiat et le musée s’agrandit dès 1932 pour accueillir les ordres étrangers. Entièrement rénové en 2006, il occupe désormais la totalité de l’aile qui lui est dédiée.  Depuis 2008, le musée est devenu une référence internationale incontournable grâce au dépôt de la fabuleuse collection du plus grand collectionneur d’ordres et décorations au monde, l’Italien Antonio Benedetto Spada.  En 2016 et 2018, les salles de la Légion d'honneur, de l'ordre national du Mérite et des ordres royaux, enrichies de nouvelles œuvres, sont repensées grâce à une scénographie alliant solennité et pédagogie. Un dispositif interactif permet de parcourir l'histoire des décorations françaises depuis 1.000 ans, et de découvrir le fonctionnement actuel des ordres nationaux et leurs membres.;Après une brève présentation de l’histoire du palais et du musée, la visite s’articule autour de cinq espaces présentant insignes, tableaux, armes, objets d’art, costumes, documents… Des écrans interactifs retracent l'histoire des décorations françaises depuis le moyen âge et présentent le fonctionnement actuel des ordres nationaux et leurs membres.  Salle des ordres chevaleresques religieux et militaires : ordre de Saint-Jean de Jérusalem, dit de Malte, ordre Teutonique, ordre du Saint-Sépulcre…  Salle des ordres royaux : ordre de Saint-Michel, ordre du Saint-Esprit, ordre de Saint-Louis, Institution du Mérite militaire...  Salle de la Légion d’honneur : armes de récompense et d’honneur, Légion d’honneur, ordres de la Couronne de fer et de la Réunion, ordres des frères de l’Empereur...  Salle Mario Spada dédiée aux ordres étrangers : plus de 400 ordres provenant de 122 États passés ou présents.  Salle contemporaine : décorations de la Révolution, de la Restauration, du Second Empire (Médaille militaire et médailles commémoratives), des deux guerres mondiales….  Le parcours s’achève avec les médailles d’honneur, les ordres coloniaux et ministériels et l’ordre national du Mérite, deuxième ordre national créé par le général de Gaulle en 1963.;"Architecture et urbanisme;Collections militaires : Armes, Uniformes, Armures;Ethnologie : Costume;Histoire : Musée thématique";;Napoléon Ier, Berthier.;Le musée occupe l'une des ailes du palais de la Légion d'honneur, l'hôtel de Salm, édifié en 1787 par l’architecte Pierre Rousseau pour le compte d’un prince allemand, Frédéric de Salm-Kyrbourg. Le prince de Salm ayant été guillotiné en 1794, son hôtel est acquis en 1804, pour la Légion d’honneur, sur ordre de Napoléon Ier.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00088793?base=%22merimee%22&listResPage=9&qb=%5B%7B%22field%22%3A%5B%22ACTU.keyword%22%5D%2C%22operator%22%3A%22%2A%22%2C%22value%22%3A%22mus%C3%A9e%22%2C%22combinator%22%3A%22AND%22%2C%22index%22%3A0%7D%5D&resPage=9&last_view=%22list%22&idQuery=%2204e7e63-bb0d-383b-718c-8c45e131e2%22;Site patrimonial remarquable.;"PA00088793;SPR1100002;SPR1100001";;2023-04-12;48.860294, 2.324768
M5071;musée des plans-reliefs;129 rue de Grenelle;hôtel national des Invalides;75007;Paris;Paris;Ile-de-France;www.museedesplansreliefs.culture.fr/;01 45 51 95 05;;Histoire,Technique et industrie;Collection de maquettes historiques de villes fortifiées constituée pour des besoins de programmation militaire, entre la fin du XVIIe siècle et la fin du XIXe siècle, classée Monument historique en 1927.  Fonds documentaire en rapport avec cette collection.  Ce musée rattaché à la Direction générale des patrimoines et de l'architecture - Service des musées de France, au Ministère de la Culture, a pour mission de conserver, inventorier, étudier, restaurer, enrichir, exposer et diffuser en vue de l'éducation du public les collections qui sont inscrites sur son inventaire.;Collection unique au monde par son importance et son homogénéité.;"Architecture et urbanisme;Collections militaires;Histoire : Histoire militaire";;Vauban - Louis XIV - Napoléon Ier;Hôtel national des Invalides construit sous Louis XIV, par les architectes Gabriel et Aubert de 1728 à 1731.;;Site patrimonial remarquable.;"SPR1100002;SPR1100001";;2024-02-08;48.858219, 2.312885
M0365;musée de l'Institut du Monde Arabe;;;75005;Paris;Paris;Ile-de-France;www.imarabe.org/fr/musee/presentation-du-musee;;;Arts de l'Islam;"Dans son projet initial, le musée de l’Institut du monde arabe a été pensé comme un musée d’art et de civilisation arabo-musulman et son parcours s’articulait en trois séquences, avec pour point de départ la naissance de l’islam. Une présentation de l’art islamique, considéré dans sa plus vaste extension territoriale, c’est-à-dire de l’Espagne à l’Inde, se prolongeait par une approche plus ethnographique de la vie en société dans le monde arabe et s’achevait sur la création arabe contemporaine. Cette organisation présida à la constitution des collections dès 1982. Les fonds d’ethnographie et d’art contemporain arabe étaient à créer, tandis que pour l’art islamique le corpus se composait principalement, à l’inauguration du musée en novembre 1987, de dépôts d’œuvres appartenant aux collections nationales françaises. Des acquisitions dans ce domaine étaient néanmoins entreprises dès la création du musée, afin de compléter ces dépôts et anticiper leur restitution, intervenue en 1991. L’enrichissement des collections s’est fait par des acquisitions sur le marché de l’art, des dons – hommage doit être ici rendu aux collectionneurs qui ont depuis son origine soutenu le musée, au premier rang desquels le regretté Jean Soustiel – ainsi que des legs. Celui de Marcel Destombes a doté en 1986 le musée d’un ensemble significatif d’instruments liés à l’étude et à la pratique de l’astronomie. Ce fonds comporte aujourd’hui 620 pièces ou lots (céramique, métal, verre, pierre et stuc, ivoire, écaille, cuir, bois et mobilier, tissage et broderie, tapis, manuscrits et feuillets calligraphiés, miniatures et dessins, livres imprimés, monnaies, bijoux, instruments scientifiques, mosaïque, vitrail et objets composites). Le musée réservait un de ses cinq niveaux à une présentation de la société dans le monde arabe. Cette séquence n’a pu être finalisée pour l’ouverture au public de l’Institut et, par la suite, les crédits ont fait défaut pour la mettre en œuvre. Un fonds a été rassemblé de 1983 à 1988, complété ensuite par un don saoudien à l’issue d’une exposition en 1998. Il est constitué essentiellement de dons gouvernementaux, les acquisitions sur le marché ne représentant qu’environ 5 % de l’ensemble des 335 pièces. Il comporte des objets de la vie quotidienne en lien avec la préparation de la nourriture et la pratique de l’hospitalité, des parures pour hommes et femmes (armes et bijoux), des instruments de différents corps de métiers, du mobilier de nomades et de sédentaires, des instruments de musique, des pièces de vêtement, des poupées d’un théâtre d’ombre (karagöz). Constituer une collection d’art contemporain arabe était une des originalités du musée de l’Institut à son ouverture. Cette collection réunit des œuvres exécutées depuis les années 1920, avec l’ambition d’être représentative des multiples tendances qui composent la création arabe ; elle offre un panorama des deux premières générations d’artistes modernes mus par une ouverture au monde, au croisement de l’Orient et de l’Occident, de l’Afrique et de l’Asie. 460 œuvres sont inscrites à l’inventaire, acquises auprès des artistes ou leurs représentants. 115 ont fait l’objet d’un don. La collection comprend des peintures, sculptures, estampes, photographies, livres d’artistes et pièces de design.  En 2008 a été prise la décision de repenser le musée et de recentrer son propos sur le monde arabe, depuis ses origines jusqu’à l’époque actuelle. Il est apparu que les collections de l’Institut ne suffisaient pas, à elles seules, à nourrir l’ensemble d’un parcours désormais thématique. L’obtention en 2011 de l’appellation « Musée de France » a permis le dépôt d’œuvres appartenant aux musées nationaux. Ainsi, depuis la réouverture du musée en février 2012, la présentation inclut des œuvres des collections du musée du Louvre (départements des Antiquités orientales, des Antiquités grecques, étrusques et romaines, des Antiquités égyptiennes) et du musée du quai Branly (unité patrimoniale Afrique du Nord et Proche-Orient). S’y ajoutent des pièces du musée des Arts décoratifs de Paris et du musée Bible et Terre sainte. Des musées de pays membres fondateurs de l’Institut ont également été sollicités. Le visiteur peut ainsi, tout au long du parcours, découvrir des pièces, souvent inédites, provenant du Musée national de Riyad (Arabie saoudite), du Musée national de Manama (Bahreïn) de même que des musées de Damas, Alep, Lattaquié et Palmyre, arrivées à Paris avant que les événements en Syrie rendent impossible tout mouvement d’œuvres. Sont également exposés des prêts tunisiens issus des musées de Carthage, de Kairouan, du Bardo et des Arts et traditions populaires à Tunis.";Le musée de l’IMA invite le visiteur à la découverte du monde arabe, par-delà les idées reçues, en lui présentant toute la diversité de ses cultures, ethnies, langues, confessions, depuis ses origines jusqu’à nos jours. La muséographie privilégie un dialogue entre des œuvres et des objets appartenant à des domaines rarement mis en regard : - Archéologies antique et médiévale - Art et artisanat - Ethnographie - Création contemporaine Ce parcours sur quatre niveaux du bâtiment, du 7e au 4e étage, s’articule autour de cinq thématiques :  - La naissance d’une identité - Des dieux à Dieu - Déambuler dans une ville arabe - Les expressions de la beauté - Le corps, soi et l’autre.;;;;Symbole architectural moderne du dialogue entre la culture occidentale et le monde arabe, édifié sur les bords de Seine, ce bâtiment a été conçu et réalisé par une équipe d’architectes constituée de Jean Nouvel, Architecture Studio ( Martin Robain, Rodo Tisnado, Jean-François Bonne, Jean-François Galmiche), Gilbert Lèzenes et Pierre Soria. Intégré dans l'urbanisme parisien, il prolonge l'ensemble des bâtiments de l'université de Jussieu, tout en marquant sa différence grâce à sa façade à moucharabiehs.;;Site patrimonial remarquable.;"SPR1100002;SPR1100001";;2023-04-12;48.843955, 2.352176
M1213;Musée Daubigny;Manoir des Colombières;Rue de la Sansonne;95430;Auvers-sur-Oise;Val-d’Oise;Ile-de-France;museedaubigny.com;0130368020;Maison  musée. Maison des Illustres.;Beaux-arts;La section initiale du musée s'est constituée à partir de donations des familles Raskin-Daubigny, Desboutin et Goeneutte.  - La donation Raskin-Daubigny date de 1987. Elle compte essentiellement des dessins et œuvres gravées de Charles François Daubigny (1817-1878) et de son fils Karl Daubigny (1846-1886). Elle compte plus de 110 numéros d'inventaire, dont un certain nombre d'objets ayant appartenu au peintre (sa palette, son béret, les rames du Botin, ses outils de graveur, des distinctions...). Les peintures ont été acquises ensuite, par l'Association du musée Daubigny. - La donation Desboutin date de 1983. Elle compte 10 eaux-fortes et pointes sèches du graveur Marcellin Desboutin (1823-1902), membre de la Société des aquafortistes créée en 1862 qui participe, avec Daubigny, au mouvement de défense de l’eau-forte originale.  - La donation Goeneutte date de 1983. Elle rassemble dix œuvres du peintre et graveur Norbert Goeneutte (1854-1894), ami de Daubigny, qui fréquente Auvers-sur-Oise dès 1861.   S’ajoutent aux dons les acquisitions fortement orientées vers l’œuvre de peintres contemporains amis ou élèves de Charles François et Karl Daubigny qui ont vécu ou séjourné dans la région : Edmond Marie Petitjean (1844-1925), Maurice Dainville (1856-1943), Honoré Daumier (1808-1879), Léonide Bourges (1838-1909), Eugène Cicéri (1813-1890), Jules Dupré (1811-1889), Fernand Quignon (1854-1941).;"La section fondatrice du musée témoigne majoritairement du passage d'artistes à Auvers-sur-Oise ou aux alentours ; elle comprend des œuvres de la fin du XIXe et du début du XXe siècle des peintres de la vallée de l’Oise « autour de l'impressionnisme ».";;Charles François Daubigny (1817 - 1878) est considéré comme l’un des précurseurs du mouvement impressionniste. Il a séjourné 18 ans à Auvers-sur-Oise réunissant autour de lui de nombreux confrères parmi lesquels Corot, Daumier, Oudinot, le sculpteur Geoffroy-Dechaume, Harpignies, Dupré, Damoye, Charles Jacque, Berthe Morisot et sa sœur Edma …;;1626 : le Manoir, nouvellement construit, appartient à l’abbaye de Saint Vincent de Senlis. 1636 : Henri de Boessot, seigneur de Puyrenault écuyer et commissaire es guerres, achète le domaine. La propriété comprend un pavillon (5 salles, chambres, greniers, écuries, caves voutées, colombier), vue maison des vignerons, granges etc, pépinières, grand verger, potager etc, l’entrée est la porte crénelée située sur la grande rue d’Auvers (actuelle rue Daubigny). Les terres allaient jusqu’à l’Oise, au niveau du Port Saint Vincent. Elles étaient limitées à l’ouest par la ravine des Ponceaux. 1684 : Louis de Boessot, son fils, vend le Manoir à Pierre Coquart, chef de gobelet de la reine (Marie-Thérèse d’Autriche). 1731 : mort de Pierre Coquart. 1738 : acquisition de la propriété par Sylvain Ballot, huissier à cheval au Châtelet. 1768 : un plan de la propriété, au nom de Monsieur Le Dru, nous est parvenu, et pourtant, en 1790 la veuve de Sylvain Ballot vend le domaine à Jacques Antoine de Junquières, juge de paix du canton, président du Tribunal de Pontoise et enfin membre du Corps législatif en l’an XII. 1809 : vente de la propriété à Charles Plessier. La fille de celui-ci hérite et épouse Pierre Depoin, avocat à Pontoise. Pierre Depoin baptisa la propriété Les Colombières, peut-être en souvenir de l’ancien fief du Poy ou des Colombiers du XIIIe siècle. 1900 : la propriété appartient à Joseph Depoin. 1930 : la commune achète le domaine et construit une école sur les terres, l’école Vavasseur, qui est inaugurée en 1934. 1986 : l’office du tourisme d’Auvers est installé aux Colombières, ainsi qu’un musée destiné à présenter des œuvres du peintre Daubigny. 2012 : Le musée Daubigny devient municipal. 2015 : La ville d’Auvers-sur-Oise décide d’agrandir le musée Daubigny. Le déménagement de l’Office du Tourisme dans le Parc Van Gogh permet d’agrandir le musée. La collection permanente du musée consacrée à Charles François Daubigny est désormais présentée au rez-de-chaussée du manoir des Colombières. L’étage  est quant à lui exclusivement dédié aux expositions temporaires.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00080244?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Auvers-sur-Oise%22%5D&last_view=%22mosaic%22&idQuery=%226145bf-8c30-715d-40d3-5c2837cc7d57%22;;"PA00080244;IA00122293;MI197";1987;2023-04-19;49.071480153019486, 2.171783250055156
M0363;musée de la Chasse et de la Nature;62 rue des archives;hôtels de Guénégaud et de Mongelas;75003;Paris;Paris;Ile-de-France;www.chassenature.org/;01 53 01 92 40;;Arts décoratifs,Sciences de la nature,Ethnologie,Afrique;La collection de François et Jacqueline Sommer, constituée à partir des années 1930 et enrichie au cours des années 1955-1965, constitue le fonds du musée.;Collection d'anciennes armes de chasse, oeuvres de peintres animaliers des XVIIe et XVIIIe, art contemporain explorant les rapports de l'homme à la nature;"Civilisations extra-européennes : Africaines;Collections militaires : Armes (Armes de chasse);Autres collections : Ouvrages de bibliophilie (sur la chasse);Histoire : Musée thématique;Sciences de la nature : Mammalogie, Autre(s),  (Animaux naturalisés et trophées de chasse),";Brueghel de velours, Chardin, Desportes, Oudry.;;Hôtel de Guénégaud construit par François Mansart de 1652 à 1657, et l'hôtel de Mongelas. L'hôtel de Guénégaud, restauré de 1964 à 1966 par Jacqueline et François Sommer, est construit entre cour et jardin. Il possède un escalier de François Mansart, classé au titre des monuments historiques.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00086135?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22Gu%C3%A9n%C3%A9gaud%22&ou=%5B%22Paris%203e%20Arrondissement%22%5D&last_view=%22list%22&idQuery=%22ff064e1-a08d-b7a-a3fa-b6b5e4adff03%22;Secteur sauvegardé. Site patrimonial remarquable.;"PA00086135;SPR1100002;SPR1100001";;2024-01-26;48.861491, 2.358608
M0377;musée Henri Chapu;937 rue Henri Chapu;;77350;Le Mée-sur-Seine;Seine-et-Marne;Ile-de-France;le-mee-sur-seine.fr/le-mee-village/une-terre-dartistes/;01 64 79 77 72;;Beaux-arts;Le musée Chapu rassemble les œuvres que le sculpteur avait données en 1886 à son village natal.;Le musée présente une collection unique de plâtres de mises-aux-points et d'esquisses, ainsi que des bronzes, d'Henri Chapu.;Beaux-Arts : Sculpture;Henri Chapu (1833 - 1891), né en 1833, fils d’un cocher du château des Carrières, il devient un sculpteur de renommée internationale.;;;;;;;2024-01-26;48.534859, 2.635235
